Date,Confirmed cases,Deaths,Recovered,Daily New Cases,Daily Deaths,Active Cases,Open,High,Low,Close,Adj Close,Volume
2020-01-22,1,0,0,0,0,1,3330.02001953125,3337.77001953125,3320.0400390625,3321.75,3321.75,3623780000
2020-01-23,1,0,0,0,0,1,3315.77001953125,3326.8798828125,3301.8701171875,3325.5400390625,3325.5400390625,3766710000
2020-01-24,2,0,0,1,0,2,3333.10009765625,3333.179931640625,3281.530029296875,3295.469970703125,3295.469970703125,3708780000
2020-01-27,5,0,0,0,0,5,3247.159912109375,3258.85009765625,3234.5,3243.6298828125,3243.6298828125,3831050000
2020-01-28,5,0,0,0,0,5,3255.35009765625,3285.780029296875,3253.219970703125,3276.239990234375,3276.239990234375,3531570000
2020-01-29,6,0,0,1,0,6,3289.4599609375,3293.469970703125,3271.889892578125,3273.39990234375,3273.39990234375,3600250000
2020-01-30,6,0,0,0,0,6,3256.449951171875,3285.909912109375,3242.800048828125,3283.659912109375,3283.659912109375,3790350000
2020-01-31,8,0,0,2,0,8,3282.330078125,3282.330078125,3214.679931640625,3225.52001953125,3225.52001953125,4529700000
2020-02-03,11,0,0,3,0,11,3235.659912109375,3268.43994140625,3235.659912109375,3248.919921875,3248.919921875,3760460000
2020-02-04,11,0,0,0,0,11,3280.610107421875,3306.919921875,3280.610107421875,3297.590087890625,3297.590087890625,3996900000
2020-02-05,11,0,0,0,0,11,3324.909912109375,3337.580078125,3313.75,3334.68994140625,3334.68994140625,4121480000
2020-02-06,12,0,0,1,0,12,3344.919921875,3347.9599609375,3334.389892578125,3345.780029296875,3345.780029296875,3887250000
2020-02-07,12,0,0,0,0,12,3335.5400390625,3341.419921875,3322.1201171875,3327.7099609375,3327.7099609375,3733920000
2020-02-10,12,0,3,0,0,9,3318.280029296875,3352.260009765625,3317.77001953125,3352.090087890625,3352.090087890625,3462730000
2020-02-11,13,0,3,1,0,10,3365.8701171875,3375.6298828125,3352.719970703125,3357.75,3357.75,3762940000
2020-02-12,13,0,3,0,0,10,3370.5,3381.469970703125,3369.719970703125,3379.449951171875,3379.449951171875,3930910000
2020-02-13,14,0,3,1,0,11,3365.89990234375,3385.090087890625,3360.52001953125,3373.93994140625,3373.93994140625,3500890000
