Unnamed: 0,Confirmed,Deaths,Recovered
1/22/20,1,0,0
1/23/20,1,0,0
1/24/20,2,0,0
1/25/20,2,0,0
1/26/20,5,0,0
1/27/20,5,0,0
1/28/20,5,0,0
1/29/20,6,0,0
1/30/20,6,0,0
1/31/20,8,0,0
02-01-2020,8,0,0
02-02-2020,8,0,0
02-03-2020,11,0,0
02-04-2020,11,0,0
02-05-2020,11,0,0
02-06-2020,12,0,0
02-07-2020,12,0,0
02-08-2020,12,0,0
02-09-2020,12,0,0
02-10-2020,12,0,0
02-11-2020,13,0,0
02-12-2020,13,0,0
2/13/20,14,0,0
2/14/20,14,0,0
2/15/20,14,0,0
2/16/20,14,0,0
2/17/20,14,0,0
2/18/20,14,0,0
2/19/20,14,0,0
2/20/20,14,0,0
2/21/20,16,0,0
2/22/20,16,0,0
2/23/20,16,0,0
2/24/20,16,0,0
2/25/20,16,0,0
2/26/20,16,0,0
2/27/20,17,0,0
2/28/20,17,0,0
2/29/20,25,1,0
03-01-2020,32,1,0
03-02-2020,55,6,0
03-03-2020,74,7,0
03-04-2020,107,11,0
03-05-2020,184,12,0
03-06-2020,237,14,0
03-07-2020,403,17,0
03-08-2020,519,21,0
03-09-2020,594,22,0
03-10-2020,782,28,0
03-11-2020,1147,33,0
03-12-2020,1586,43,0
3/13/20,2219,51,0
3/14/20,2978,58,0
3/15/20,3212,70,0
3/16/20,4679,97,0
3/17/20,6512,134,0
3/18/20,9169,194,0
3/19/20,13663,266,0
3/20/20,20030,372,0
3/21/20,26025,475,0
3/22/20,34944,603,0
3/23/20,46096,790,0
3/24/20,56714,1033,0
3/25/20,68841,1366,0
3/26/20,86662,1783,0
3/27/20,105253,2305,0
3/28/20,127417,3018,0
3/29/20,143544,3573,0
3/30/20,165698,4280,0
3/31/20,192079,5359,0
04-01-2020,227903,6996,0
04-02-2020,260183,8556,0
04-03-2020,292630,9985,0
04-04-2020,324340,11605,0
04-05-2020,353117,13227,0
04-06-2020,385110,14989,0
04-07-2020,415256,17595,0
04-08-2020,446500,19747,0
04-09-2020,482526,22003,0
04-10-2020,516707,24217,0
04-11-2020,545693,26320,0
04-12-2020,571551,28203,0
4/13/20,598794,30204,0
4/14/20,627306,32685,0
4/15/20,653669,35309,0
4/16/20,683351,37496,0
4/17/20,716508,39600,0
4/18/20,743857,41543,0
4/19/20,768888,43510,0
4/20/20,799531,45795,0
4/21/20,825478,48246,0
4/22/20,855445,50712,0
4/23/20,887523,53138,0
4/24/20,919014,55201,0
4/25/20,949640,56940,0
4/26/20,975537,58354,0
4/27/20,1000230,59840,0
4/28/20,1024834,62074,0
4/29/20,1051643,64448,0
4/30/20,1081150,66638,0
05-01-2020,1115972,68518,0
05-02-2020,1142619,70291,0
05-03-2020,1166189,71492,0
05-04-2020,1190240,72862,0
05-05-2020,1214321,75041,0
05-06-2020,1238694,77359,0
05-07-2020,1266904,79262,0
05-08-2020,1294111,81033,0
05-09-2020,1318358,82504,0
05-10-2020,1337061,83505,0
05-11-2020,1356283,84531,0
05-12-2020,1379661,86119,0
5/13/20,1399662,87814,0
5/14/20,1425539,89581,0
5/15/20,1449938,91205,0
5/16/20,1473806,92374,0
5/17/20,1492449,93191,0
5/18/20,1514833,94413,0
5/19/20,1535591,95840,0
5/20/20,1558430,97310,0
5/21/20,1583542,98491,0
5/22/20,1607464,99695,0
5/23/20,1627392,100774,0
5/24/20,1647513,101410,0
5/25/20,1666699,102010,0
5/26/20,1685395,102664,0
5/27/20,1704200,104116,0
5/28/20,1725329,105181,0
5/29/20,1750066,106290,0
5/30/20,1772783,107236,0
5/31/20,1791547,107857,0
06-01-2020,1809384,108624,0
06-02-2020,1829340,109603,0
06-03-2020,1848388,110603,0
06-04-2020,1876099,111601,0
06-05-2020,1902280,112471,0
06-06-2020,1922433,113109,0
06-07-2020,1940242,113569,0
06-08-2020,1957154,114071,0
06-09-2020,1977478,114980,0
06-10-2020,1999224,115836,0
06-11-2020,2021527,116644,0
06-12-2020,2047082,117466,0
6/13/20,2071218,118174,0
6/14/20,2090171,118522,0
6/15/20,2111266,118920,0
6/16/20,2135894,119695,0
6/17/20,2162973,120436,0
6/18/20,2191211,121132,0
6/19/20,2222207,121760,0
6/20/20,2254073,122323,0
6/21/20,2279932,122642,0
6/22/20,2309921,123021,0
6/23/20,2348750,123752,0
6/24/20,2385029,124507,0
6/25/20,2424386,125058,0
6/26/20,2473472,125687,0
6/27/20,2514305,126186,0
6/28/20,2557223,126512,0
6/29/20,2598741,126881,0
6/30/20,2648797,127432,0
07-01-2020,2698127,128134,0
07-02-2020,2753211,128883,0
07-03-2020,2804869,129559,0
07-04-2020,2850893,129867,0
07-05-2020,2904843,130201,0
07-06-2020,2948475,130575,0
07-07-2020,3005888,131719,0
07-08-2020,3066392,132562,0
07-09-2020,3126224,133601,0
07-10-2020,3194746,134402,0
07-11-2020,3255187,135167,0
07-12-2020,3315407,135632,0
7/13/20,3375032,136084,0
7/14/20,3440789,136988,0
7/15/20,3507088,137942,0
